44.48,367.28,5.75
44.48,365.54,5.58
44.32,363.96,6.19
44.58,362.91,5.75
44.53,361.82,6.02
44.59,361.43,6.08
44.80,362.22,5.75
44.01,363.75,6.13
44.17,365.76,6.24
44.06,368.01,6.08
44.48,369.94,5.58
43.64,370.37,6.57
44.48,369.23,5.91
44.22,368.21,6.13
44.53,367.37,5.80
43.96,365.92,6.79
44.69,364.99,5.86
43.70,365.30,6.79
43.54,366.24,6.95
44.74,367.29,5.25
44.42,368.14,5.42
44.64,368.73,5.91
43.80,368.51,6.57
43.75,367.18,6.73
44.06,365.95,6.19
44.05,364.79,5.69
44.53,363.09,5.86
43.01,362.24,7.01
43.58,362.66,6.35
44.69,363.49,5.80
43.53,364.50,6.40
43.54,365.66,6.95
44.64,367.00,5.86
44.16,367.67,6.08
44.58,367.23,5.75
43.43,366.97,7.06
44.27,366.86,6.29
43.95,365.92,5.80
44.17,364.98,6.24
44.74,365.06,5.80
43.48,366.00,6.46
44.33,367.20,6.24
44.48,368.43,6.08
44.80,369.61,5.86
43.85,369.88,6.51
43.38,368.83,6.84
43.42,367.51,6.29
44.32,365.98,5.91
44.69,364.10,5.86
44.32,363.12,6.08
44.53,363.53,5.80
44.43,364.71,6.08
44.75,366.32,6.02
44.48,368.23,6.13
44.63,370.04,5.20
44.05,370.49,5.42
44.32,369.28,6.02
43.64,368.07,6.57
44.22,367.13,6.02
43.49,365.94,7.01
44.32,365.36,5.97
44.32,365.70,6.02
43.80,366.67,6.68
43.80,368.12,6.95
44.37,369.52,5.42
44.53,370.42,6.02
44.16,370.38,5.91
44.11,369.34,6.13
44.69,368.44,5.86
44.53,367.55,5.69
44.27,365.91,6.13
44.27,364.68,6.40
43.96,364.67,6.51
44.74,365.47,5.86
43.95,366.58,5.80
43.79,367.54,6.13
44.38,368.28,6.13
44.54,368.50,6.13
44.01,367.96,6.24
43.91,367.67,6.57
44.06,367.35,5.97
44.80,366.24,5.80
44.27,365.58,6.13
43.59,365.30,6.40
44.22,364.43,6.35
44.01,364.09,6.46
43.43,364.96,7.06
44.33,366.50,6.29
44.80,368.46,5.97
43.86,370.62,6.90
44.17,372.62,6.19
43.38,373.41,6.57
44.06,372.52,6.24
44.12,371.38,6.62
44.43,370.46,6.08
44.38,369.17,6.24
44.59,368.31,6.19
44.12,368.49,6.46
44.80,369.42,6.08
44.22,370.70,6.46
44.53,372.05,6.08
45.06,373.29,5.75
43.54,373.67,6.68
44.43,372.89,6.40
43.96,372.23,6.35
44.48,371.62,5.91
44.06,370.37,6.35
44.17,369.56,6.24
43.86,369.65,6.90
44.59,370.23,6.19
44.37,370.86,5.47
44.22,371.29,6.35
44.37,371.71,5.91
43.96,371.46,6.35
44.54,370.18,6.24
44.64,369.26,6.13
44.01,368.73,6.73
44.48,367.69,6.29
44.17,367.17,6.51
44.69,367.84,5.97
43.38,369.11,7.12
43.37,370.42,6.35
44.53,371.35,5.86
44.27,372.05,6.24
44.70,372.36,6.35
44.38,371.87,6.19
43.75,371.52,7.01
44.27,371.34,6.29
44.64,370.51,6.13
44.12,369.82,6.40
44.21,369.06,5.36
44.17,367.61,6.46
44.48,366.65,5.91
45.11,366.83,5.75
44.59,367.76,6.02
43.76,369.12,7.28
44.54,370.64,6.24
43.96,372.11,6.35
44.27,372.75,6.35
44.37,371.93,5.64
44.85,370.78,6.02
44.32,369.85,6.19
44.48,368.51,6.19
43.70,367.68,7.33
44.80,368.05,6.02
44.43,369.19,6.35
44.43,370.73,6.24
44.43,372.26,5.91
44.43,373.27,5.80
43.54,372.96,6.95
43.70,371.36,6.79
44.27,370.01,6.13
44.11,368.98,6.19
44.32,367.39,6.19
44.06,366.28,6.51
44.32,366.15,5.47
44.64,366.48,6.13
43.64,367.29,6.35
43.91,368.52,7.01
45.53,370.02,5.09
43.75,370.95,6.73
44.70,370.72,6.24
44.54,370.44,6.13
44.32,370.08,6.02
44.53,368.96,6.02
44.48,368.12,6.29
44.79,368.22,5.20
43.80,368.77,6.95
43.91,369.76,6.84
44.43,371.24,6.13
44.48,372.95,6.29
43.70,373.92,7.06
44.74,373.50,5.86
44.17,372.80,6.51
44.11,371.69,5.86
44.22,369.46,6.13
44.43,367.62,6.24
44.21,367.12,5.53
43.59,367.47,7.01
43.64,368.47,6.35
44.43,369.83,6.08
44.75,371.16,6.02
44.69,372.20,5.97
43.75,373.05,6.73
43.38,373.82,6.57
44.69,373.66,5.69
44.22,372.40,6.57
43.54,371.46,6.90
43.54,370.66,6.95
43.48,368.94,6.51
44.53,367.37,6.02
44.53,367.03,6.02
44.27,367.68,6.08
44.58,368.74,5.47
43.69,369.76,6.51
44.69,370.64,5.80
43.27,370.89,6.95
44.27,370.24,6.35
44.69,369.80,6.08
44.38,369.55,6.46
44.64,368.85,6.13
43.91,368.69,7.12
43.79,369.38,5.97
44.38,370.35,6.51
44.48,371.47,5.86
44.48,372.37,6.02
44.06,373.04,6.51
43.59,373.14,6.90
44.48,372.37,6.19
44.53,371.77,5.97
44.64,371.18,5.69
44.48,369.86,5.64
44.06,368.85,6.46
44.43,368.93,6.24
43.58,369.68,6.35
44.53,370.56,6.02
43.70,371.55,6.79
44.27,372.74,6.40
44.06,373.20,6.19
44.48,372.29,6.08
43.85,371.29,6.19
43.48,370.20,6.51
44.17,368.46,6.24
43.38,367.34,7.12
44.38,367.53,6.24
44.53,368.55,5.80
44.27,369.94,6.24
44.54,371.42,6.13
44.17,372.96,6.46
43.64,373.83,6.84
44.12,373.46,6.62
43.27,372.72,6.46
44.17,371.63,6.62
43.86,369.97,6.90
44.37,368.77,5.91
43.95,368.28,5.69
44.43,368.24,6.08
44.07,368.82,6.68
44.70,369.99,6.51
44.59,371.27,6.02
44.27,372.22,5.86
44.48,372.92,5.86
44.01,373.57,6.24
44.42,373.24,5.42
44.59,371.20,5.91
43.91,369.19,6.79
44.22,367.81,6.19
44.12,366.31,6.46
44.27,365.59,6.02
45.06,365.90,5.53
44.54,366.72,6.51
44.43,367.92,6.13
43.70,369.26,7.06
44.17,370.73,6.68
43.23,371.65,7.28
44.01,371.26,6.68
44.74,370.61,5.75
44.21,369.64,5.42
43.80,367.68,6.95
44.22,366.15,6.13
44.11,365.88,6.35
44.17,366.38,6.24
44.02,367.35,7.01
44.33,368.73,6.51
44.74,370.28,5.86
44.38,371.11,6.19
43.80,370.59,6.40
43.70,369.65,6.79
44.27,368.67,6.13
44.37,367.36,5.97
43.38,366.72,7.12
44.74,367.15,5.58
44.32,368.14,6.08
43.75,369.47,7.01
44.07,370.92,6.68
43.95,372.17,6.02
43.48,372.20,6.24
43.70,370.83,6.79
44.12,369.70,6.40
44.22,368.93,6.46
44.17,367.57,6.40
44.37,366.36,5.86
43.90,366.14,6.24
44.48,366.84,6.08
44.37,367.88,5.64
44.38,368.82,6.13
44.48,369.73,5.64
43.96,369.98,6.46
44.43,369.20,6.35
44.17,368.62,6.40
44.27,368.28,6.40
44.27,367.41,6.35
44.48,366.77,6.13
43.89,365.99,5.58
44.80,364.42,5.97
44.54,363.51,6.13
44.22,364.02,6.40
43.70,365.42,7.06
44.48,367.25,6.29
43.49,369.18,7.01
44.43,371.05,5.97
44.16,371.96,6.13
44.53,371.27,5.86
43.64,370.12,6.57
44.22,368.80,6.29
44.80,367.05,6.02
44.53,365.95,5.86
44.59,366.05,6.62
44.01,367.05,6.62
44.69,368.51,5.97
44.59,370.14,6.51
44.27,371.81,6.29
44.64,372.67,6.02
44.42,372.03,5.69
44.38,370.83,6.46
44.59,369.63,6.02
44.53,368.19,5.75
44.69,367.27,5.86
44.48,367.54,6.29
44.33,368.82,6.62
43.43,370.54,7.06
44.33,372.12,6.29
44.28,373.53,6.57
44.32,374.00,5.69
44.49,372.88,6.40
44.48,371.75,6.29
44.06,370.84,6.08
44.32,369.21,6.08
44.27,368.04,6.40
44.59,368.08,6.08
43.59,368.82,6.90
44.16,369.97,6.08
43.59,371.31,6.90
44.11,372.57,5.91
44.64,372.67,5.69
44.27,371.09,6.24
44.16,369.29,5.42
43.59,367.64,6.62
43.70,365.72,6.79
44.11,364.50,6.29
44.27,364.55,6.35
44.00,365.31,5.86
44.27,366.51,6.35
43.95,368.07,6.24
44.32,369.72,6.19
44.12,370.53,6.40
44.54,370.17,6.13
44.22,369.80,6.40
44.32,369.36,6.08
44.53,368.06,6.02
44.21,366.88,5.53
44.27,366.46,6.08
44.38,366.83,6.40
44.43,367.97,6.13
44.06,369.25,6.46
44.54,370.43,6.35
45.17,371.83,5.86
